zeit,zaehlstelle,gesamt
2017-06-03 10:00:00,Margareten,197
2017-06-03 10:00:00,Olympia,90
2017-06-03 11:00:00,Arnulf,95
2017-06-03 11:00:00,Erhardt,376
2017-06-03 11:00:00,Hirsch,101
2017-06-03 11:00:00,Kreuther,17
2017-06-03 11:00:00,Margareten,268
2017-06-03 11:00:00,Olympia,150
2017-06-03 12:00:00,Arnulf,88
2017-06-03 12:00:00,Erhardt,359
2017-06-03 12:00:00,Hirsch,88
2017-06-03 12:00:00,Kreuther,18
2017-06-03 12:00:00,Margareten,263
2017-06-03 12:00:00,Olympia,183
2017-06-03 13:00:00,Arnulf,101
2017-06-03 13:00:00,Erhardt,421
2017-06-03 13:00:00,Hirsch,107
2017-06-03 13:00:00,Kreuther,26
2017-06-03 13:00:00,Margareten,277
2017-06-03 13:00:00,Olympia,154
2017-06-03 14:00:00,Arnulf,103
2017-06-03 14:00:00,Erhardt,556
2017-06-03 14:00:00,Hirsch,90
2017-06-03 14:00:00,Kreuther,26
2017-06-03 14:00:00,Margareten,245
2017-06-03 14:00:00,Olympia,155
2017-06-03 15:00:00,Arnulf,94
2017-06-03 15:00:00,Erhardt,542
2017-06-03 15:00:00,Hirsch,99
2017-06-03 15:00:00,Kreuther,24
2017-06-03 15:00:00,Margareten,230
2017-06-03 15:00:00,Olympia,180
2017-06-03 16:00:00,Arnulf,86
2017-06-03 16:00:00,Erhardt,516
2017-06-03 16:00:00,Hirsch,74
2017-06-03 16:00:00,Kreuther,17
2017-06-03 16:00:00,Margareten,259
2017-06-03 16:00:00,Olympia,211
2017-06-03 17:00:00,Arnulf,70
2017-06-03 17:00:00,Erhardt,544
2017-06-03 17:00:00,Hirsch,97
2017-06-03 17:00:00,Kreuther,18
2017-06-03 17:00:00,Margareten,231
2017-06-03 17:00:00,Olympia,236
2017-06-03 18:00:00,Arnulf,55
2017-06-03 18:00:00,Erhardt,518
2017-06-03 18:00:00,Hirsch,106
2017-06-03 18:00:00,Kreuther,15
2017-06-03 18:00:00,Margareten,254
2017-06-03 18:00:00,Olympia,234
2017-06-03 19:00:00,Arnulf,112
2017-06-03 19:00:00,Erhardt,470
2017-06-03 19:00:00,Hirsch,77
2017-06-03 19:00:00,Kreuther,14
2017-06-03 19:00:00,Margareten,239
2017-06-03 19:00:00,Olympia,269
2017-06-03 20:00:00,Arnulf,78
2017-06-03 20:00:00,Erhardt,319
2017-06-03 20:00:00,Hirsch,82
2017-06-03 20:00:00,Kreuther,15
2017-06-03 20:00:00,Margareten,185
2017-06-03 20:00:00,Olympia,232
2017-06-03 21:00:00,Arnulf,68
2017-06-03 21:00:00,Erhardt,253
2017-06-03 21:00:00,Hirsch,69
2017-06-03 21:00:00,Kreuther,7
2017-06-03 21:00:00,Margareten,115
2017-06-03 21:00:00,Olympia,166
2017-06-03 22:00:00,Arnulf,32
2017-06-03 22:00:00,Erhardt,191
2017-06-03 22:00:00,Hirsch,42
2017-06-03 22:00:00,Kreuther,8
2017-06-03 22:00:00,Margareten,67
2017-06-03 22:00:00,Olympia,226
2017-06-03 23:00:00,Arnulf,46
2017-06-03 23:00:00,Erhardt,188
2017-06-03 23:00:00,Hirsch,20
2017-06-03 23:00:00,Kreuther,4
2017-06-03 23:00:00,Margareten,83
2017-06-03 23:00:00,Olympia,70
2017-06-04 00:00:00,Arnulf,6
2017-06-04 00:00:00,Erhardt,60
2017-06-04 00:00:00,Hirsch,2
2017-06-04 00:00:00,Kreuther,4
2017-06-04 00:00:00,Margareten,21
